 ,English,Vietnamese,Korean,Chinese,Russian,Italian,French,Japanese,Spanish,German
Hint_Level_94_2,,,셔츠에 뭔가가 숨어 있다,衬衫上藏着东西,Что-то прячется на рубашке,Qualcosa si nasconde sulla maglietta,Quelque chose se cache sur la chemise,シャツに何かが隠れています,Algo se esconde en la camisa,Etwas versteckt sich auf dem Shirt
Hint_Level_94_3,,,신발에 뭔가가 숨어 있다,鞋子上藏着东西,Что-то прячется на туфлях,Qualcosa si nasconde sulle scarpe,Quelque chose se cache sur les chaussures,何かが靴に隠れています,Algo se esconde en los zapatos,Etwas versteckt sich an den Schuhen
Hint_Level_95,9+3-4=8,9+3-4=8,9+3-4=8,9+3-4=8,9+3-4=8,9+3-4=8,9+3-4=8,9+3-4=8,9+3-4=8,9+3-4=8
Hint_Level_96,The moon show up when the light go down,Bầu trời chỉ lộ ra khi nguồn ánh sáng khác mất đi,빛이 내리면 달이 보인다,当光线下降时月亮出现,"Луна появляется, когда гаснет свет",La luna si fa vedere quando la luce cala,La lune apparaît quand la lumière s'éteint,明かりが消えると月が現れる,La luna aparece cuando la luz se apaga,"Der Mond zeigt sich, wenn das Licht untergeht"
Hint_Level_97,Mirror reflecting the stalker shadow ,Kẻ ẩn trốn sẽ lộ diện trong gương,스토커 그림자를 비추는 거울,镜子反射潜行者的影子,"Зеркало, отражающее тень сталкера",Lo specchio riflette l'ombra dello stalker,Miroir reflétant l'ombre du harceleur,ストーカーの影を映す鏡,Espejo que refleja la sombra del acosador,"Spiegel, der den Schatten des Stalkers reflektiert"
Hint_Level_98,B,B,B,B,B,B,B,B,B,B
Hint_Level_99,Need a scissors to cutdown the tree,Cần có kéo để tỉa cây,나무를 자르려면 가위가 필요하다,需要一把剪刀来砍树,"Нужны ножницы, чтобы срубить дерево",Servono le forbici per abbattere l'albero,Besoin de ciseaux pour abattre l'arbre,木を切り倒すにはさみが必要,Necesito unas tijeras para cortar el Ã¡rbol.,"Braucht eine Schere, um den Baum zu fÃ¤llen"
Hint_Level_100,3,3,3,3,3,3,3,3,3,3
Hint_Level_101,Try to take food from that poster,Thử kéo thức ăn khỏi tấm poster xem,그 포스터에서 음식을 가져와 보자,试着从那张海报上拿食物,Попробуйте взять еду с этого плаката,Prova a prendere del cibo da quel poster,Essayez de prendre de la nourriture sur cette affiche,そのポスターから食べ物を取ってみてください,Intenta tomar comida de ese cartel,"Versuche, Essen von diesem Poster zu nehmen"
Hint_Level_102,License plates and paint of the car is falling down,Biển số và màu sơn đang tuột khỏi xe,차량의 라이센스 플레이트와 페인트가 떨어지고 있습니다.,车牌和汽车的油漆正在跌倒,Номерные тарелки и краска автомобиля падают,Le piastre di licenza e la vernice della macchina stanno cadendo,Les plaques d'immatriculation et la peinture de la voiture tombent en baisse,車のライセンスプレートと塗料が落ちている,Las placas de licencia y pintura del coche se están cayendo.,Lizenzplatten und Farbe des Autos fallen herunter
Hint_Level_102_2,,,빨간 차에서 페인트가 떨어지고 있다,红色汽车的油漆脱落,Краска с красной машины падает,La vernice dell'auto rossa sta cadendo,La peinture de la voiture rouge tombe,赤い車の塗装が落ちている,La pintura del auto rojo se estÃ¡ cayendo,Lack vom roten Auto fÃ¤llt ab
Hint_Level_103,Try to cut down those boom wire,Hãy thử xóa bỏ dây nối của bom,그 붐 와이어를 잘라보자,试着砍掉那些吊杆线,Попытайтесь перерезать эту стреловую проволоку,Prova a tagliare i cavi,Essayez de couper ces fils de flèche,それらのブームワイヤーを削減,Intenta cortar esos cables de bomba,"Versuche, diesen Boom-Draht zu kÃ¼rzen"
Hint_Level_104,Alien has distinctive ears,Alien có đôi tai lạ thường,외계인은 독특한 귀를 가지고 있다,外星人有独特的耳朵,У инопланетянина характерные уши,L'alieno ha orecchie distintive,Alien a des oreilles distinctives,エイリアンは独特の耳を持っています,AlienÃ­gena tiene orejas distintivas,Alien hat ausgeprÃ¤gte Ohren
Hint_Level_105,That man has the fish,Ông cụ câu được cá,그 남자는 물고기를 가지고 있다,那个人有鱼,У этого человека есть рыба,Quell'uomo ha il pesce,Cet homme a le poisson,あの男は魚を持っている,Ese hombre tiene el pescado,Dieser Mann hat den Fisch
Hint_Level_106,Ostrich can't fly,Đà điểu là kẻ duy nhất không biết bay,타조는 날지 못한다,鸵鸟不会飞,Страус не умеет летать,Lo struzzo non può volare,L'autruche ne peut pas voler,ダチョウは飛べない,El avestruz no puede volar,Der StrauÃŸ kann nicht fliegen
Hint_Level_107,"Check the Rooster, the wall and the chick","Kiểm tra gà trống, bức tường và gà mái","수탉, 벽 및 병아리를 확인하십시오",检查公鸡，墙和小鸡,"Проверьте петух, стену и цыпочку","Controlla il gallo, il muro e il pulcino","Vérifiez le coq, le mur et le poussin",オンドリ、壁、ひよこをチェックしてください,"Revisa el gallo, la pared y la chica.","Überprüfen Sie den Hahn, die Wand und das Küken"
Hint_Level_107_2,,,벽 뒤에서 확인,检查墙后,Проверить за стеной,Controlla dietro il muro,Vérifiez derrière le mur,壁の後ろを確認,Mira detrÃ¡s de la pared,Check hinter der Wand
Hint_Level_107_3,,,그 병아리 중 하나는 알이 있어야 한다,其中一只小鸡一定有一个鸡蛋,У одного из этих цыплят должно быть яйцо,Uno di quei pulcini deve avere un uovo,Un de ces poussins doit avoir un œuf,それらのひよこの 1 つは卵を持っている必要があります,Una de esas chicas debe tener un huevo,Eines dieser KÃ¼ken muss ein Ei haben
Hint_Level_108,3,3,3,3,3,3,3,3,3,3
Hint_Level_109,Check the ghost in middle,Kiểm tra thử con ma ở giữa,중간에 유령을 확인하라,检查中间的鬼魂,Проверьте призрак посередине,Controlla il fantasma nel mezzo,Vérifiez le fantôme au milieu,真ん中の幽霊をチェック,Mira el fantasma en el medio,ÃœberprÃ¼fe den Geist in der Mitte
Hint_Level_110,A,A,3,3,3,3,3,3,3,3
Hint_Level_111,Circle can hide under other shape,Hình tròn có thể trốn dưới các hình khác,원이 다른 모양 아래에 숨어 있을 수 있다,圆形可以隐藏在其他形状下,Круг может спрятаться под другой формой,Il cerchio può nascondersi sotto un'altra forma,Le cercle peut se cacher sous une autre forme,円は他の形の下に隠れることができます,El cÃ­rculo puede esconderse bajo otra forma,Der Kreis kann sich unter einer anderen Form verstecken
Hint_Level_112,Try to call John with speaker,Dùng loa gọi John thử xem,스피커로 John에게 전화를 걸어보자,尝试用扬声器给约翰打电话,Попробуйте позвонить Джону через динамик,Prova a chiamare John con l'altoparlante,Essayez d'appeler John avec le haut-parleur,スピーカーでジョンに電話してみてください,Intenta llamar a John con el altavoz,"Versuche, John mit dem Lautsprecher anzurufen"
Hint_Level_113,Key is hidding inside the book,Chìa khóa rương được giấu trong sách,열쇠는 책 안에 숨어 있다,钥匙藏在书里,Ключ прячется в книге,La chiave si nasconde all'interno del libro,La clé se cache à l'intérieur du livre,キーは本の中に隠れています,La llave se esconde dentro del libro,Der SchlÃ¼ssel versteckt sich im Buch
Hint_Level_114,Zombie gone crazy when they see brain,Zombie sẽ phát cuồng khi thấy não,좀비는 뇌를 보면 미쳐,僵尸看到大脑就疯了,"Зомби сошли с ума, когда увидели мозг",Gli zombi impazziscono quando vedono il cervello,Zombie devenu fou quand ils voient le cerveau,彼らが脳を見るとゾンビは夢中になりました,Los zombies se vuelven locos cuando ven cerebros,"Zombie wird verrÃ¼ckt, wenn er ein Gehirn sieht"
Hint_Level_115,"Check the both man chest pocket, bag and shoes","Kiểm tra ngực áo, túi và giày của 2 người","두 남자 가슴 주머니, 가방 및 신발을 확인하십시오.",检查两个男士胸部口袋，包包和鞋子,"Проверьте оба человека на груди, сумка и обувь","Controllare sia la tasca del petto, la borsa e le scarpe","Vérifiez la poche poitrine de l'homme, le sac et les chaussures",両方の男の胸部ポケット、バッグ、靴をチェックしてください,"Compruebe el bolsillo del tórax, bolso y zapatos para hombre","Überprüfen Sie die beiden Brusttasche, Tasche, Tasche und Schuhe"
Hint_Level_115_2,,,가방을 확인하라,检查包,Проверить сумку,Controlla la borsa,Vérifiez le sac,バッグを確認,Revisa la bolsa,ÃœberprÃ¼fe die Tasche
Hint_Level_115_3,,,두 남자 신발을 확인하라,检查两个男人的鞋子,Проверьте обе мужские туфли,Controlla entrambe le scarpe da uomo,Vérifiez les deux chaussures homme,両方の男性の靴を確認,Revisa los zapatos de ambos hombres,ÃœberprÃ¼fe die beiden MÃ¤nnerschuhe
Hint_Level_116,"Check the girl legs, eyes color and her teeth","Kiểm tra chân, mắt và răng của cô gái","소녀 다리, 눈 색깔 및 이빨을 확인하십시오.",检查女孩腿，眼睛颜色和牙齿,"Проверьте ноги, цвет глаз и зубы","Controllare le gambe della ragazza, colore degli occhi e dei suoi denti","Vérifiez les jambes de la fille, la couleur des yeux et ses dents",女の子の足、目の色と彼女の歯をチェックしてください,"Revisa las piernas de la niña, los ojos color y sus dientes.","Überprüfen Sie die Mädchenbeine, Augenfarbe und ihre Zähne"
Hint_Level_116_2,,,그녀의 눈은 다른 색을 가지고 있다,她的眼睛有不同的颜色,Ее глаза разного цвета,I suoi occhi hanno un colore diverso,Ses yeux ont une couleur différente,彼女の目は色が違う,Sus ojos tienen un color diferente,Ihre Augen haben eine andere Farbe
Hint_Level_116_3,,,뾰족한 이빨은 좋은 징조가 아니다,尖牙不是好兆头,Остроконечные зубы - плохой знак,I denti appuntiti non sono un buon segno,Les dents pointues ne sont pas un bon signe,とがった歯は良い兆候ではありません,Los dientes puntiagudos no son una buena seÃ±al,Spitze ZÃ¤hne sind kein gutes Zeichen
Hint_Level_117,The cat in the middle last row has diferent eyes,Chú mèo ở giữa của hàng cuối có đôi mắt nhìn thật lạ,중간 마지막 줄에 있는 고양이는 다른 눈을 가지고 있다,最后一排中间的猫有不同的眼睛,У кота в среднем последнем ряду разные глаза,Il gatto nell'ultima fila al centro ha occhi diversi,Le chat au milieu de la dernière rangée a des yeux différents,最後の列の真ん中の猫は目が違います,El gato en el medio de la Ãºltima fila tiene ojos diferentes.,Die Katze in der mittleren letzten Reihe hat andere Augen
Hint_Level_118,Check her screen,Thử kiểm tra lại màn hình máy tính,그녀의 화면을 확인하라,检查她的屏幕,Проверьте ее экран,Controlla il suo schermo,Vérifiez son écran,彼女の画面を確認,Revisa su pantalla,ÃœberprÃ¼fe deinen Bildschirm
Hint_Level_119,Try to remove their mask,Thử bỏ khẩu trang để xem nhan sắc các cô gái,그들의 가면을 벗겨 보자,试着摘下他们的面具,Попробуйте снять маску,Prova a rimuovere la loro maschera,Essayez de retirer leur masque,彼らのマスクを削除,Intenta quitarles la mÃ¡scara,"Versuche, ihre Maske zu entfernen"
Hint_Level_120,Deers love apple,Nai thích ăn táo,사슴은 사과를 좋아해,鹿爱苹果,Олени любят яблоко,I cervi amano la mela,Les cerfs aiment la pomme,鹿はリンゴが大好き,A los ciervos les encanta la manzana,Hirsche lieben Apfel
Hint_Level_121,Use needle to define the shape,Dùng cây kim để định hình kẹo,바늘을 사용하여 모양을 정의하십시오,使用针来定义形状,Используйте иглу для определения формы,Usa l'ago per definire la forma,Utilisez l'aiguille pour définir la forme,形状を定義するために針を使う,Usa la aguja para definir la forma.,"Verwenden Sie Nadel, um die Form zu definieren"
Hint_Level_122,Check Game Master in the middle,Kiểm tra quản trò đứng ở giữa,중간에 게임 마스터를 확인하십시오,检查游戏大师在中间,Проверьте мастер игры в середине,Controlla il maestro del gioco nel mezzo,Vérifiez le match du jeu au milieu,中間のゲームマスターをチェックしてください,Revise el juego Master en el medio,Überprüfen Sie den Spielmeister in der Mitte
